,Heat_Cool,Room_Temperature,Cool_Setpoint,Temp_Cool_Analysis
2015-06-08 00:00:00-07:00,0.0,67.0,76,False
2015-06-08 00:05:00-07:00,0.0,66.85,76,False
2015-06-08 00:10:00-07:00,0.0,66.75,76,False
2015-06-08 00:15:00-07:00,0.0,66.7,76,False
2015-06-08 00:20:00-07:00,0.0,66.6,76,False
2015-06-08 00:25:00-07:00,0.0,66.55,76,False
2015-06-08 00:30:00-07:00,0.0,66.525,76,False
2015-06-08 00:35:00-07:00,0.0,66.5,76,False
2015-06-08 00:40:00-07:00,0.0,66.4,76,False
2015-06-08 00:45:00-07:00,0.0,66.375,76,False
2015-06-08 00:50:00-07:00,0.0,66.25,76,False
2015-06-08 00:55:00-07:00,0.0,66.25,76,False
2015-06-08 01:00:00-07:00,0.0,66.25,76,False
2015-06-08 01:05:00-07:00,0.0,66.25,76,False
2015-06-08 01:10:00-07:00,0.0,66.25,76,False
2015-06-08 01:15:00-07:00,0.0,66.25,76,False
2015-06-08 01:20:00-07:00,0.0,66.15,76,False
2015-06-08 01:25:00-07:00,0.0,66.15,76,False
2015-06-08 01:30:00-07:00,0.0,66.15,76,False
2015-06-08 01:35:00-07:00,0.0,66.0,76,False
2015-06-08 01:40:00-07:00,0.0,66.0,76,False
2015-06-08 01:45:00-07:00,0.0,66.0,76,False
2015-06-08 01:50:00-07:00,0.0,66.0,76,False
2015-06-08 01:55:00-07:00,0.0,65.9,76,False
2015-06-08 02:00:00-07:00,0.0,66.0,76,False
2015-06-08 02:05:00-07:00,0.0,65.85,76,False
2015-06-08 02:10:00-07:00,0.0,65.75,76,False
2015-06-08 02:15:00-07:00,0.0,65.8,76,False
2015-06-08 02:20:00-07:00,0.0,65.75,76,False
2015-06-08 02:25:00-07:00,0.0,65.75,76,False
2015-06-08 02:30:00-07:00,0.0,65.75,76,False
2015-06-08 02:35:00-07:00,0.0,65.75,76,False
2015-06-08 02:40:00-07:00,0.0,65.75,76,False
2015-06-08 02:45:00-07:00,0.0,65.75,76,False
2015-06-08 02:50:00-07:00,0.0,65.75,76,False
2015-06-08 02:55:00-07:00,0.0,65.75,76,False
2015-06-08 03:00:00-07:00,0.0,65.75,76,False
2015-06-08 03:05:00-07:00,0.0,65.75,76,False
2015-06-08 03:10:00-07:00,0.0,65.75,76,False
2015-06-08 03:15:00-07:00,0.0,65.75,76,False
2015-06-08 03:20:00-07:00,0.0,65.75,76,False
2015-06-08 03:25:00-07:00,0.0,65.6,76,False
2015-06-08 03:30:00-07:00,0.0,65.55,76,False
2015-06-08 03:35:00-07:00,0.0,65.55,76,False
2015-06-08 03:40:00-07:00,0.0,65.5,76,False
2015-06-08 03:45:00-07:00,0.0,65.5,76,False
2015-06-08 03:50:00-07:00,0.0,65.5,76,False
2015-06-08 03:55:00-07:00,0.0,65.5,76,False
2015-06-08 04:00:00-07:00,0.0,65.5,76,False
2015-06-08 04:05:00-07:00,0.0,65.5,76,False
2015-06-08 04:10:00-07:00,0.0,65.5,76,False
2015-06-08 04:15:00-07:00,0.0,65.5,76,False
2015-06-08 04:20:00-07:00,0.0,65.5,76,False
2015-06-08 04:25:00-07:00,0.0,65.5,76,False
2015-06-08 04:30:00-07:00,0.0,65.375,76,False
2015-06-08 04:35:00-07:00,0.0,65.4583333333,76,False
2015-06-08 04:40:00-07:00,0.0,65.4,76,False
2015-06-08 04:45:00-07:00,0.0,65.25,76,False
2015-06-08 04:50:00-07:00,0.0,65.25,76,False
2015-06-08 04:55:00-07:00,0.0,65.25,76,False
2015-06-08 05:00:00-07:00,0.0,65.3,76,False
2015-06-08 05:05:00-07:00,0.0,65.25,76,False
2015-06-08 05:25:00-07:00,0.0,65.625,76,False
2015-06-08 06:05:00-07:00,0.0,67.05,76,False
2015-06-08 06:10:00-07:00,0.0,67.4,76,False
2015-06-08 06:15:00-07:00,0.0,67.5,76,False
2015-06-08 06:20:00-07:00,0.0,67.3,76,False
2015-06-08 06:25:00-07:00,0.0,67.0,76,False
2015-06-08 06:35:00-07:00,0.0,67.0,76,False
2015-06-08 06:40:00-07:00,0.0,67.2,76,False
2015-06-08 06:45:00-07:00,0.0,67.0,76,False
2015-06-08 06:50:00-07:00,0.0,67.0,76,False
2015-06-08 07:15:00-07:00,0.0,68.0,76,False
2015-06-08 07:20:00-07:00,0.0,68.4,76,False
2015-06-08 07:25:00-07:00,0.0,68.35,76,False
2015-06-08 07:30:00-07:00,0.0,68.2,76,False
2015-06-08 07:35:00-07:00,0.0,68.05,76,False
2015-06-08 07:40:00-07:00,0.0,68.0,76,False
2015-06-08 07:45:00-07:00,0.0,67.8,76,False
2015-06-08 07:50:00-07:00,0.0,67.75,76,False
2015-06-08 07:55:00-07:00,0.0,67.7,76,False
2015-06-08 08:00:00-07:00,0.0,67.55,76,False
2015-06-08 08:05:00-07:00,0.0,67.55,76,False
2015-06-08 08:10:00-07:00,0.0,67.5,76,False
2015-06-08 08:15:00-07:00,0.0,67.5,76,False
2015-06-08 08:20:00-07:00,0.0,67.5,76,False
2015-06-08 08:25:00-07:00,0.0,67.5,76,False
2015-06-08 08:30:00-07:00,0.0,67.5,76,False
2015-06-08 08:35:00-07:00,0.0,67.5,76,False
2015-06-08 08:40:00-07:00,0.0,67.5,76,False
2015-06-08 08:45:00-07:00,0.0,67.5,76,False
2015-06-08 08:50:00-07:00,0.0,67.4,76,False
2015-06-08 08:55:00-07:00,0.0,67.35,76,False
2015-06-08 09:00:00-07:00,0.0,67.35,76,False
2015-06-08 09:05:00-07:00,0.0,67.3,76,False
2015-06-08 09:10:00-07:00,0.0,67.35,76,False
2015-06-08 09:15:00-07:00,0.0,67.25,76,False
2015-06-08 09:20:00-07:00,0.0,67.35,76,False
2015-06-08 09:25:00-07:00,0.0,67.3,76,False
2015-06-08 09:30:00-07:00,0.0,67.3,76,False
2015-06-08 09:35:00-07:00,0.0,67.35,76,False
2015-06-08 09:40:00-07:00,0.0,67.5,76,False
2015-06-08 09:45:00-07:00,0.0,67.45,76,False
2015-06-08 09:50:00-07:00,0.0,67.4375,76,False
2015-06-08 09:55:00-07:00,0.0,67.5,76,False
2015-06-08 10:00:00-07:00,0.0,67.5,76,False
2015-06-08 10:05:00-07:00,0.0,67.5,76,False
2015-06-08 10:10:00-07:00,0.0,67.5,76,False
2015-06-08 10:15:00-07:00,0.0,67.5,76,False
2015-06-08 10:20:00-07:00,0.0,67.5,76,False
2015-06-08 10:25:00-07:00,0.0,67.5,76,False
2015-06-08 10:30:00-07:00,0.0,67.5,76,False
2015-06-08 10:35:00-07:00,0.0,67.5,76,False
2015-06-08 10:40:00-07:00,0.0,67.5,76,False
2015-06-08 10:45:00-07:00,0.0,67.5,76,False
2015-06-08 10:50:00-07:00,0.0,67.5,76,False
2015-06-08 10:55:00-07:00,0.0,67.5,76,False
2015-06-08 11:00:00-07:00,0.0,67.5,76,False
2015-06-08 11:05:00-07:00,0.0,67.65,76,False
2015-06-08 11:10:00-07:00,0.0,67.8,76,False
2015-06-08 11:15:00-07:00,0.0,67.9,76,False
2015-06-08 11:20:00-07:00,0.0,68.0,76,False
2015-06-08 11:25:00-07:00,0.0,68.0,76,False
2015-06-08 11:30:00-07:00,0.0,68.0,76,False
2015-06-08 11:35:00-07:00,0.0,68.2,76,False
2015-06-08 11:40:00-07:00,0.0,68.25,76,False
2015-06-08 11:45:00-07:00,0.0,68.45,76,False
2015-06-08 11:50:00-07:00,0.0,68.3,76,False
2015-06-08 11:55:00-07:00,0.0,68.5,76,False
2015-06-08 12:00:00-07:00,0.0,68.5,76,False
2015-06-08 12:05:00-07:00,0.0,68.5,76,False
2015-06-08 12:10:00-07:00,0.0,68.5,76,False
2015-06-08 12:15:00-07:00,0.0,68.5,76,False
2015-06-08 12:20:00-07:00,0.0,68.5,76,False
2015-06-08 12:25:00-07:00,0.0,68.5,76,False
2015-06-08 12:30:00-07:00,0.0,68.5,76,False
2015-06-08 12:35:00-07:00,0.0,68.5,76,False
2015-06-08 12:40:00-07:00,0.0,68.5,76,False
2015-06-08 12:45:00-07:00,0.0,68.5,76,False
2015-06-08 12:50:00-07:00,0.0,68.5,76,False
2015-06-08 12:55:00-07:00,0.0,68.5,76,False
2015-06-08 13:00:00-07:00,0.0,68.5,76,False
2015-06-08 13:05:00-07:00,0.0,68.5,76,False
2015-06-08 13:10:00-07:00,0.0,68.5,76,False
2015-06-08 13:15:00-07:00,0.0,68.5,76,False
